name,EN,SD,SF,AG,MI,SSIM,CC,SCD,Qabf
FLIR_00018,7.196810972070716,38.37978961129475,10.970559831895182,32.90062164782483,2.6361114786551516,0.6534727592277954,0.48371982763508437,1.681953536604912,0.3642066384596664
FLIR_00288,6.928242480548448,35.39511050449187,7.659738140872903,26.115250657929717,2.8246825317231194,0.7285181898977722,0.5208786267482954,1.7148424850418227,0.4755590899340437
FLIR_00306,6.892442639682832,32.52710858409578,8.984207478890598,26.290693930257607,2.0297370445766854,0.7442778574419535,0.5501441495896358,1.7325271189645322,0.3957969056311318
FLIR_00311,6.763675753466177,27.8489768896136,8.159628073200354,25.068167458923874,2.1706075545754175,0.6454252394939972,0.265690187971358,1.9571934415946435,0.4093190248109105
FLIR_00497,7.091331369038239,43.53124177346887,9.166383173257437,24.87723055769842,3.3922388206147147,0.8122277788773504,0.7882940104055883,1.328364193663981,0.41029534241662924
FLIR_00578,7.061390691457648,36.21577060753133,18.414085824415828,50.07815871675284,1.935831410477386,0.6756067723545456,0.6300062438513538,1.5993837126453372,0.4656416313997169
FLIR_00691,7.100773787444762,39.71690731344952,12.242420208831005,39.22461000442083,2.6483247214277292,0.6765797291680419,0.6610916797114017,1.502822449417836,0.41021774897673646
FLIR_00977,6.445378409505433,23.68414980124095,6.626587553910928,16.965807353006426,2.921962438503564,0.7862424810706843,0.3718849132764333,1.8877736847352948,0.36249166543698397
FLIR_01022,7.0671262677182245,42.21068040925991,5.256875047323941,15.337440733166781,4.232391995415411,0.8177283673238759,0.6923576811224623,1.4022958875411806,0.39296642790756964
FLIR_01274,6.846987509643814,32.88846750895441,9.172686156770142,22.285896320063912,3.274559556099576,0.7662048724844418,0.5278752390286403,1.7459329545410163,0.4253410058994684
FLIR_01415,6.66793861303233,26.981550786864744,6.94482467913855,22.43792177142175,2.583939695313294,0.7337743198559789,0.3329290428794392,1.918347940863467,0.41135490795889473
FLIR_01463,6.773101938959819,29.031253017996793,7.083193792993987,23.3059594835193,2.9967667261179223,0.7217054672765885,0.3752637100783542,1.8399115036456446,0.4588368198331195
FLIR_01871,6.889023618276276,49.461192636575845,7.074799809023665,19.834172539048748,4.168022267838431,0.7936281724270471,0.6912721449950792,1.2788827091277848,0.4493042357619928
FLIR_01932,7.0816336123498,43.09067248956952,5.837507884510723,15.150839039201516,4.458787856542195,0.8005462011929172,0.5986843500180574,1.5543044102817754,0.43094440320434424
FLIR_01945,6.9937356395827335,44.44346148357285,6.358395458144297,16.495358421271725,4.577327826978762,0.8144871779198213,0.5552443949998797,1.5860108400982518,0.46853818352990595
FLIR_03801,6.834389812984784,33.94285419545633,6.871674385241418,17.362758328521707,2.939465762022799,0.8401909552533149,0.6813769787808159,1.5264604971329732,0.45296286697732807
FLIR_03952,6.943676064733861,40.78164094113048,6.741834633862041,17.034669233660587,4.026604033545789,0.8644472416739921,0.9059092413149299,0.9834371048427888,0.44643943776793077
FLIR_04208,7.179285230822804,37.3425109797306,11.012080731919701,34.539769929943105,2.9449039004532276,0.6464680002443602,0.42789177112933297,1.7777898706297464,0.4009547949888256
FLIR_04215,6.965916918065161,31.564504141486324,8.826434573309157,24.769714131631734,2.976594918432992,0.739785514596069,0.46630224402129566,1.750846623821217,0.3830403486374817
FLIR_04229,6.881277728414696,29.604749068844413,10.417059261459183,30.672054297275647,2.4745969098265714,0.7210361860990959,0.46598875075727214,1.7544031485105698,0.41969982706689435
FLIR_04319,6.724775874954053,26.680562834849404,7.122736827210878,19.752091299749758,2.890744610331885,0.7586233976779673,0.3994480812606506,1.8750663728732326,0.44271797220906994
FLIR_04354,7.169227074263821,43.92438824332846,10.03511529121003,27.852605569722687,3.4675994536169057,0.7518992172348911,0.7172467455490237,1.4499151446069858,0.4027678277678121
FLIR_04370,7.17534370641917,36.102634833628166,13.479790931882889,46.28913869772589,2.1182907138232276,0.6343438402385931,0.5067598525716077,1.7325259336105105,0.37184737398527856
FLIR_04424,7.049088119069626,33.550313588733786,12.454469629697481,39.53404075705494,2.1109151068865084,0.6660733212553271,0.4920007377522377,1.7352838632847205,0.39949007732500164
FLIR_04602,6.612993692683211,28.16080978872482,8.031894252016528,22.072381643705977,2.0195836114542174,0.7475908617365722,0.5213542724407281,1.6880395338197312,0.37609283042392927
FLIR_04607,7.061677904364522,34.23870557667667,12.453208861091442,38.844820225582616,2.5002447569418567,0.6845002424678887,0.5404672222729571,1.7112795058678407,0.4382714816272644
FLIR_04625,6.775849165097716,28.09669242718963,10.949188635156194,33.632737185902364,2.5344551103832353,0.6372908940240818,0.35309949852706,1.888197454812477,0.40971658538001027
FLIR_04701,7.047618998995027,36.5189216209144,10.150774086419336,28.825595081033903,3.1138538749080955,0.7079457789886656,0.616600774340442,1.5407474181327734,0.3591203780305803
FLIR_04722,6.5753391018324905,25.58707647986307,9.012216801814875,23.693254287731488,2.619790885863858,0.7508385519496745,0.3994346194339156,1.881272067795312,0.4228771946901078
FLIR_04726,6.834577436789711,30.09625963916712,10.051404912519725,30.562821387220588,2.5807192640964347,0.6693941703765662,0.39668811242250623,1.8743821681707349,0.4031161726807305
FLIR_04735,6.883171892398464,32.682563219388946,9.113077501584753,26.865093491640906,2.7206919526181976,0.7559771784305604,0.5990047711050865,1.5879584743404114,0.41308895752292296
FLIR_04929,6.9207584982674515,31.601688658784663,9.940836677471731,28.912962742550647,2.408447968207538,0.7122433682757168,0.4399276935623718,1.8269265490262767,0.4360314464220164
FLIR_04932,6.922288779295214,30.19463335865033,11.923031624347697,37.098847309911996,1.9507575382600457,0.6850823511808716,0.44541966265930755,1.8356720006598128,0.385888360506911
FLIR_04943,6.918418670862379,29.810930878651728,10.02683138013765,28.680894923241944,2.3700601597158975,0.704798042021299,0.4280166355632896,1.8424159263685997,0.4150254181151587
FLIR_04997,6.947784726778381,30.305240661333034,14.514510564446029,40.34749406433089,1.8521464977061837,0.6607807673936323,0.4617015338033297,1.7980729132995985,0.4395259651833718
FLIR_05005,6.859266069427843,29.173894707647182,10.809195309426816,33.241725477744914,2.179359555266715,0.6566194925369762,0.44307687180471605,1.8138054258167833,0.38756617643581104
FLIR_05053,6.817816580488273,28.113455898708203,10.675705572129226,33.55853690427494,2.4115682956493454,0.7159871785597587,0.5423982302234278,1.6783749351369655,0.3869069418634032
FLIR_05064,6.949505624253529,31.621590849912756,11.330339070886811,33.940768471753785,2.0517169109649642,0.6594937382332113,0.4138381318321399,1.8537821545961382,0.4283655300579158
FLIR_05072,6.9933151340934465,31.500798122044078,13.000411188101658,38.39950083217168,1.8756299194293589,0.6553678140642767,0.4539046687267706,1.802127775063517,0.3509560796769569
FLIR_05095,6.975583415357921,32.60518213219033,10.335031102609685,29.697683181529055,2.6749697594275372,0.7490734192996567,0.5787412140890498,1.6726356278802532,0.4018273405682722
FLIR_05102,6.797565573972402,28.05872634395017,9.376797936508344,29.068345966945326,2.0012324102836216,0.7169189438165025,0.467568280430918,1.8179563368430187,0.4008166416803977
FLIR_05105,6.784626689170004,27.875477686322846,11.02603439803438,32.212550815582354,2.1438951890921096,0.7119303797492015,0.3960345569806797,1.8529709655415414,0.44862446678331036
FLIR_05164,7.125783354488892,35.09919878297319,13.091062539311956,39.8351890970938,2.2875962710478452,0.6940205439653282,0.595454383641685,1.6452756152262666,0.4200267065193268
FLIR_05201,7.36368548588556,43.046177374224605,12.53870867613914,39.18312825875867,2.960408824568962,0.7120644886194305,0.7778590144060882,1.3240204924916013,0.38338803227171103
