name,MSE,RMSE,NCC,LNCC
FLIR_00018,0.008644978478502017,0.09297837640280678,0.9359752597827735,0.45850294828414917
FLIR_00288,0.013841465043640621,0.11764975581632382,0.8995927182775874,0.3642660081386566
FLIR_00306,0.010398109534032094,0.10197112107862742,0.8923823617477351,0.3728034496307373
FLIR_00311,0.003933294673676178,0.06271598419602596,0.966233725438623,0.5301675796508789
FLIR_00497,0.007016007570439302,0.083761611555887,0.9250350022990041,0.338958740234375
FLIR_00578,0.0064315690665847506,0.08019706395239636,0.9391435732201906,0.33604180812835693
FLIR_00691,0.00445195784678921,0.06672299338900504,0.9705518376344551,0.5477374792098999
FLIR_00977,0.002350661722586458,0.048483623241115735,0.9759260899913916,0.4360385537147522
FLIR_01022,0.0012726025672040455,0.035673555572777516,0.9905297840507012,0.6344267725944519
FLIR_01274,0.006245605929218689,0.07902914607420916,0.9490926074577359,0.4184122681617737
FLIR_01415,0.006665071947464041,0.08163989188787575,0.9517078878347698,0.2769368290901184
FLIR_01463,0.0038248242803642805,0.06184516375889291,0.9713033830262494,0.4822748303413391
FLIR_01871,0.001126866304301228,0.033568829355537975,0.9923768683408212,0.6428983211517334
FLIR_01932,0.0031530810581975,0.0561523023410216,0.9780269316413196,0.583032488822937
FLIR_01945,0.002125010556224015,0.04609783678464766,0.9874398961799706,0.5933787226676941
FLIR_03801,0.0019869369568657064,0.0445750710247971,0.9751900524012479,0.4961216151714325
FLIR_03952,0.0019783176920087414,0.04447828337524664,0.9730498305311871,0.4667004346847534
FLIR_04208,0.009264152518523912,0.09625046762755968,0.9193132949359937,0.4298793077468872
FLIR_04215,0.0062176245344377585,0.07885191522365045,0.9469544595774276,0.4657494127750397
FLIR_04229,0.007048259530621732,0.08395391313465818,0.9427231062385342,0.5456791520118713
FLIR_04319,0.003607733363278743,0.060064410121791284,0.9663356670981386,0.503031313419342
FLIR_04354,0.005232391574244297,0.07233527199260605,0.9603384622745084,0.510349452495575
FLIR_04370,0.012354410509391817,0.1111503959029918,0.919815299400961,0.5210480690002441
FLIR_04424,0.021726950568783873,0.14740064643272047,0.8453476979343555,0.2806648910045624
FLIR_04602,0.002980577898672253,0.05459466914152199,0.9621963511504908,0.5146836042404175
FLIR_04607,0.008886090817242146,0.09426606397448738,0.9228759281081466,0.43556922674179077
FLIR_04625,0.00838030002214827,0.09154397862310917,0.9279569110567956,0.48583656549453735
FLIR_04701,0.009476109650871211,0.09734531139644688,0.9267589558407052,0.4733720123767853
FLIR_04722,0.005525683820406616,0.07433494346810668,0.9376864591766877,0.47347432374954224
FLIR_04726,0.006158062677078709,0.07847332462103736,0.9360829692930518,0.40620458126068115
FLIR_04735,0.006990883193100996,0.08361150155989902,0.9068692044119759,0.31962311267852783
FLIR_04929,0.007360086203965391,0.0857909447667141,0.9449118872183446,0.5068266987800598
FLIR_04932,0.008416126516945193,0.09173944907696575,0.9299598271695625,0.5283066034317017
FLIR_04943,0.009143860263563315,0.0956235340466107,0.9238490538403745,0.42474719882011414
FLIR_04997,0.010591793727756024,0.10291644051246635,0.9173185974992701,0.4632740616798401
FLIR_05005,0.006077499615694984,0.07795831973365629,0.950259196776345,0.581173300743103
FLIR_05053,0.01001912431811463,0.10009557591679379,0.8816446724676325,0.47626638412475586
FLIR_05064,0.012785797818269159,0.11307430220111535,0.8926873728763344,0.40361014008522034
