name,EN,SD,SF,AG,MI,SSIM,CC,SCD,Qabf
FLIR_00018,7.037745173565975,34.6839067802895,11.195398724698226,33.117361708809355,2.520455737860568,0.6594120254898604,0.5092858610451376,1.6914148836108074,0.37197784220585356
FLIR_00288,6.904300712119117,34.08024372474616,7.646635386060851,25.992721555736257,2.8379659517799376,0.7294014886101583,0.5271036480094068,1.7032098391370567,0.470424932240199
FLIR_00306,6.852195385698013,31.554579020524205,9.132981837052755,26.745932361389762,2.0662747888657376,0.7447260410671618,0.5520367569802596,1.7177192300833033,0.40540673943762756
FLIR_00311,6.666203746819827,25.814533612184604,8.35963012921809,25.183559555756037,2.2677851554052353,0.6498861004001076,0.26937770401983985,1.9618129027337465,0.43010201138177345
FLIR_00497,7.064988615065373,42.651939856881526,9.355145529944114,25.633083852057986,3.3913938300032065,0.8124428471421783,0.7891590418782717,1.2917896888237617,0.42643322410672535
FLIR_00578,7.056826097352237,35.72102997396764,17.7375669116263,49.40977005282436,1.9894381000729178,0.678143683726079,0.627043563125757,1.5786448920492608,0.4542450384223789
FLIR_00691,7.079136414626575,39.37492317807967,12.631715945850074,40.508616184789325,2.651685962044982,0.6781325755958171,0.6583846937377216,1.4835481792808616,0.41447306030896913
FLIR_00977,6.431674760573014,23.633093489076956,6.758009866390305,17.462584930166805,2.9403533725289415,0.7863208419093843,0.37279063532692014,1.8887315322841216,0.37669604783220484
FLIR_01022,7.037077798434185,41.06073966377535,5.400379534367238,15.632980301539055,4.2237249549902165,0.8190328372164939,0.6948112102604291,1.377238939301968,0.4019795257236981
FLIR_01274,6.807485007713289,32.19667496784585,9.143546164232195,22.867841276143167,3.281108691893534,0.7662193067720077,0.5286255342353046,1.7363594676923484,0.4360674507465652
FLIR_01415,6.620170586311516,26.121773117349047,7.029029444487942,22.606670123476796,2.626511710887953,0.7337933594887818,0.33393669567312156,1.9130651139242796,0.4391806159817085
FLIR_01463,6.6899886928372245,28.307358816051764,7.225054272404122,23.501151956793226,2.957420345087159,0.7241876448545927,0.3794746441040349,1.8401227164677874,0.4850153666957452
FLIR_01871,6.687488390005518,43.91175713250835,6.868150677832779,18.75951767309425,4.035272578774411,0.8000517297838124,0.7187814158139556,1.2292713626420089,0.4294554486772305
FLIR_01932,6.963764649592532,39.36062965957693,5.747207073268562,14.440758240660577,4.510817156130798,0.8047606473535936,0.6162740461297258,1.5320835623333058,0.41438330902953546
FLIR_01945,6.772731023002898,40.427722934325274,6.196209165412262,15.724739399346833,4.451971886374448,0.8191555405081907,0.5760553932072922,1.572515093388563,0.45270499362002903
