name,MSE,RMSE,NCC,LNCC
FLIR_00018,0.008644386974649533,0.09297519548056639,0.9359793117159538,0.4584846496582031
FLIR_00288,0.013842311801251407,0.11765335439863756,0.8995861325034933,0.36424362659454346
FLIR_00306,0.010398109534032094,0.10197112107862742,0.8923823617477351,0.3728034496307373
FLIR_00311,0.0039334224172196995,0.06271700261667246,0.9662328835613089,0.5301831364631653
FLIR_00497,0.007016007570439302,0.083761611555887,0.9250350022990041,0.338958740234375
FLIR_00578,0.0064315690665847506,0.08019706395239636,0.9391435732201906,0.33604180812835693
FLIR_00691,0.004451971552331531,0.06672309609371804,0.9705517580637423,0.5477384924888611
FLIR_00977,0.0023508854774514213,0.04848593071656376,0.9759237169597856,0.43602216243743896
FLIR_01022,0.0012727258548167661,0.0356752835281903,0.9905289194493682,0.6344419717788696
FLIR_01274,0.006245486042706764,0.07902838757501486,0.9490934073873866,0.4183974266052246
FLIR_01415,0.006665084921665313,0.08163997134777372,0.9517079078025761,0.27694231271743774
FLIR_01463,0.0038248150515357883,0.061845089146477815,0.9713034954618491,0.4822731614112854
FLIR_01871,0.001126866304301228,0.033568829355537975,0.9923768683408212,0.6428983211517334
FLIR_01932,0.0031528684705077535,0.056150409352984716,0.9780284571611187,0.5830562114715576
FLIR_01945,0.002125051639906669,0.0460982823964914,0.9874396481792945,0.5933493375778198
FLIR_03801,0.0019871239908804956,0.044577168941965076,0.9751876220919184,0.49611231684684753
FLIR_03952,0.001978283868464089,0.04447790314823855,0.9730502889175269,0.46670252084732056
FLIR_04208,0.0092652025832625,0.09625592232825209,0.9193043665904567,0.4298623204231262
FLIR_04215,0.006217901290290361,0.07885367011300337,0.9469520329960326,0.46575427055358887
FLIR_04229,0.007048311870830435,0.0839542248539669,0.9427226893442795,0.5456745028495789
FLIR_04319,0.0036079076384705755,0.06006586084016923,0.9663341317873749,0.5030169486999512
FLIR_04354,0.00523259809787285,0.07233669952294514,0.9603368954716732,0.5103120803833008
FLIR_04370,0.012354627431378449,0.11115137170264004,0.9198137951268629,0.5210449695587158
FLIR_04424,0.021728332981627463,0.14740533566200195,0.8453384970935833,0.28065112233161926
FLIR_04602,0.0029800778985520316,0.05459008974669333,0.9622028310286008,0.5147718191146851
FLIR_04607,0.008886410145064248,0.09426775771738843,0.9228735121943398,0.435566782951355
FLIR_04625,0.00838047123016747,0.09154491373182604,0.9279548637962494,0.4858662784099579
FLIR_04701,0.009476117140464766,0.09734534986564466,0.9267588914963981,0.4733719229698181
FLIR_04722,0.0055257676940610205,0.07433550762630885,0.9376862439800078,0.4734790325164795
FLIR_04726,0.0061580425569586605,0.0784731964237386,0.9360833652533064,0.4061858355998993
FLIR_04735,0.006990904373134709,0.08361162821722053,0.906869346663145,0.3196609616279602
FLIR_04929,0.007359878813683284,0.08578973606255753,0.9449135564483364,0.5068344473838806
FLIR_04932,0.00841551843720255,0.09173613484991915,0.9299652507649416,0.5283091068267822
FLIR_04943,0.009143709515884278,0.09562274580811972,0.9238494839568543,0.42472437024116516
FLIR_04997,0.0105919711974777,0.10291730271182635,0.9173168720829177,0.4632711410522461
FLIR_05005,0.006078339182677751,0.07796370426472661,0.9502522991071236,0.5811731815338135
FLIR_05053,0.010019307790617809,0.10009649239917355,0.8816434417771767,0.47628253698349
