task,split,n,MSE,MSE_std,RMSE,RMSE_std,NCC,NCC_std,LNCC,LNCC_std,EN,EN_std,SD,SD_std,SF,SF_std,AG,AG_std,MI,MI_std,SSIM,SSIM_std,CC,CC_std,SCD,SCD_std,Qabf,Qabf_std
registration,reg_only,122,0.006475987800533635,0.003630345498731422,0.07743498328888049,0.021904592294412432,0.9325002024642661,0.029035014884883616,0.45438810645556843,0.08614070332795382,,,,,,,,,,,,,,,,,,
registration,reg_joint,122,0.006476000024751041,0.0036304345403074005,0.0774349913079089,0.021904842978097628,0.9325003047533886,0.029035365216229125,0.4543894864008075,0.08614100290854591,,,,,,,,,,,,,,,,,,
fusion,fusion_only,122,,,,,,,,,7.005488794044297,0.28107113325006405,35.98317373961717,7.181705520283702,8.814254821258968,2.2524663242197542,26.458111795099896,7.394004279203391,3.026581604208012,0.6860590541887257,0.7641790710354942,0.06435616161521152,0.6686440653684348,0.1769516376577637,1.4464447920815906,0.302821053680481,0.45660744662362085,0.04747818194402319
fusion,fusion_joint,122,,,,,,,,,7.03618409242972,0.27016876315184807,36.89557957996296,7.290864562776657,8.77733232172085,2.2508494774340755,26.16190384373506,7.301059337367866,3.009029557041765,0.6844276604213381,0.7635269937610606,0.06515093395511748,0.6666357080312545,0.1782297852974919,1.472521393286289,0.2839224762605681,0.44679131851719184,0.04393679115582656
